sentence,image_1,image_2,label_image1,label_image2
A businessman sitting in a chair.,"[-0.5149033665657043, -0.4004191756248474, 0.21210260689258575, -0.05152773857116699, -0.10566651821136475, -0.20412957668304443, 0.04582163691520691, -0.07917775213718414, 0.2414490431547165, 0.016186099499464035, 0.27690589427948, 0.09757015109062195, 0.06768983602523804, -0.20174477994441986, 0.391792356967926, 0.03950740396976471, 0.04193304851651192, -0.27817338705062866, -0.27898648381233215, -0.057453855872154236, -0.21323277056217194, -0.28136691451072693, -0.14327400922775269, 0.28273817896842957, 0.24481770396232605, -0.10090035200119019, 0.8571046590805054, -0.24275176227092743, 0.1308620572090149, -0.1295061707496643, -0.08951786160469055, -0.13407719135284424, -0.30541789531707764, -0.35529592633247375, -0.4889599680900574, -0.0007997304201126099, -0.5729323625564575, 0.34366023540496826, 0.25774630904197693, 0.5486904978752136]","[-0.8340317606925964, -0.6932951807975769, 0.09860573709011078, 0.2364913523197174, -0.13400012254714966, -0.12464416027069092, 0.10235108435153961, -0.19155241549015045, 0.29318639636039734, -0.047068413347005844, -0.22604699432849884, -0.02406582422554493, 0.32931604981422424, 0.07407630234956741, 0.2579524517059326, 0.2754298746585846, 0.2226731926202774, -0.43321657180786133, -0.4246635138988495, -0.1750308722257614, -0.24598045647144318, 0.29420188069343567, -0.23124165832996368, 0.22272661328315735, -0.09371219575405121, -0.18397657573223114, 0.8167346119880676, 0.10314588993787766, 0.3624354600906372, 0.15574118494987488, -0.13484758138656616, -0.02365257404744625, -0.26358115673065186, -0.2800305485725403, -0.10835405439138412, -0.025306299328804016, -0.621507465839386, 0.17595914006233215, 0.3194628357887268, 0.42225754261016846]",0,1
A boy sits in a chair.,"[-0.744899570941925, -0.6309763789176941, -0.038656994700431824, 0.25443845987319946, -0.22857192158699036, 0.06118842214345932, 0.09474413096904755, -0.2854679822921753, 0.39043429493904114, 0.13742873072624207, -0.09717092663049698, 0.4225984811782837, -0.12794086337089539, -0.07610640674829483, 0.2067447155714035, 0.2669069766998291, -0.007898303680121899, -0.6499506235122681, -0.2444068342447281, 0.14616410434246063, -0.36272379755973816, 0.2365894466638565, -0.1025749146938324, 0.40827661752700806, -0.24443382024765015, -0.10851773619651794, 0.893698513507843, 0.07648336887359619, 0.2312101423740387, -0.0446731373667717, -0.22015565633773804, -0.0874691978096962, -0.2063530832529068, -0.02387920953333378, -0.20403791964054108, 0.23556974530220032, -0.5404564738273621, 0.3083149790763855, 0.20248207449913025, 0.5484136939048767]","[-0.43258562684059143, -0.6370185017585754, 0.23476962745189667, 0.03270934522151947, -0.17511501908302307, -0.12006296217441559, 0.2784245014190674, -0.37824180722236633, 0.08022519201040268, 0.19841018319129944, 0.11009223759174347, 0.30345964431762695, 0.10744485259056091, -0.3012751042842865, 0.20983387529850006, -0.029540734365582466, 0.14063404500484467, -0.3878881335258484, -0.05849006772041321, 0.03489237278699875, -0.426024466753006, -0.1345551311969757, -0.36958569288253784, 0.1126006543636322, 0.04129457473754883, 0.022511664777994156, 0.7997961640357971, -0.10018772631883621, -0.008489970117807388, 0.028182020410895348, -0.05929705500602722, -0.0750603899359703, -0.17414362728595734, -0.3587028384208679, -0.5563521981239319, 0.08397294580936432, -0.45870962738990784, 0.10906200855970383, 0.3909465968608856, 0.46971723437309265]",0,1
The woman sits in a chair.,"[-0.3488456606864929, -0.20904086530208588, -0.21502994000911713, 0.008799402043223381, 0.17863446474075317, -0.15196877717971802, 0.07322411239147186, -0.21566160023212433, 0.23277167975902557, -0.28009510040283203, -0.049820221960544586, 0.5645154118537903, 0.2568928301334381, -0.26373758912086487, 0.1106131300330162, 0.21522340178489685, -0.12844106554985046, -0.4163140058517456, 0.1768651157617569, -0.08648853749036789, -0.29522261023521423, -0.10713459551334381, 0.09056325256824493, 0.38636285066604614, -0.11842141300439835, -0.10513994097709656, 0.7285137176513672, -0.20653565227985382, -0.13495752215385437, -0.08452842384576797, -0.04233567416667938, -0.11210685223340988, -0.19714908301830292, -0.2584291100502014, -0.6411385536193848, -0.15212135016918182, -0.6845182180404663, 0.034307777881622314, 0.3492242693901062, 0.36456072330474854]","[-0.4668232798576355, -0.4739278554916382, -0.06882739067077637, 0.11629916727542877, 0.11415763944387436, -0.19223415851593018, -0.1786586493253708, -0.31725504994392395, 0.09570658951997757, -0.333918958902359, -0.020388036966323853, 0.48853063583374023, 0.5520362854003906, -0.1845429241657257, 0.5523235201835632, 0.37105390429496765, 0.16908256709575653, -0.2174929529428482, -0.2290322333574295, -0.30912625789642334, -0.2582397758960724, -0.06685426086187363, -0.13300956785678864, 0.5555198192596436, 0.0062399134039878845, 0.4115322232246399, 0.4142496883869171, -0.08521482348442078, -0.07104566693305969, -0.2667914628982544, 0.11580745130777359, -0.2845761775970459, -0.08745252341032028, -0.39133694767951965, -0.6063045859336853, 0.3491785526275635, -0.4777471125125885, 0.4625551700592041, 0.3505922853946686, 0.3970966637134552]",0,1
A woman is standing next to a chair.,"[-0.728141725063324, -0.20060385763645172, -0.17014510929584503, 0.29066571593284607, 0.060694463551044464, -0.23849442601203918, 0.20416921377182007, -0.1746063232421875, 0.012638846412301064, -0.10661680996417999, -0.20433762669563293, 0.22631308436393738, 0.3358016014099121, -0.056997351348400116, 0.14513103663921356, 0.38458725810050964, -0.013879428617656231, -0.32326239347457886, -0.09238596260547638, -0.1432057023048401, -0.15655489265918732, 0.05841442942619324, -0.16939999163150787, 0.35312265157699585, 0.018498368561267853, 0.14177554845809937, 0.5303033590316772, -0.15943339467048645, 0.20694324374198914, 0.12041280418634415, 0.009238244965672493, -0.14061476290225983, -0.29540908336639404, -0.2520883083343506, -0.008936194702982903, 0.00498402863740921, -0.5288377404212952, 0.09741085022687912, 0.12281350791454315, 0.14302286505699158]","[-0.27891701459884644, -0.4136112332344055, 0.4281747341156006, 0.3579133152961731, -0.4076099097728729, -0.9802050590515137, -0.05522613599896431, -0.5147358179092407, 0.0628613755106926, -0.3314391076564789, 0.03951624035835266, 0.04196171462535858, 0.6986781358718872, -0.01929529570043087, 0.4695606827735901, 0.31456515192985535, 0.5389050245285034, -0.4081765413284302, 0.2846047580242157, 0.02316415309906006, -0.5862588286399841, 0.141582190990448, -0.45232775807380676, 0.2291388362646103, -0.04900386184453964, 0.16113832592964172, 0.2335202395915985, 0.30877161026000977, -0.25053247809410095, -0.11101885885000229, -0.1474064737558365, -0.36848923563957214, -0.05952475965023041, -0.027145886793732643, -0.24045661091804504, 0.5573024749755859, -0.3963433504104614, 0.3147391080856323, 0.21114516258239746, 0.02208675816655159]",0,1
An anxious bride sitting in a chair.,"[-0.4212859272956848, -0.20785780251026154, 0.1086878627538681, 0.6305086016654968, -0.07510604709386826, 0.10522956401109695, -0.11846165359020233, -0.5541737079620361, -0.03941374272108078, 0.04023074731230736, -0.22198137640953064, 0.226279616355896, 0.6219173669815063, 0.3977360427379608, 0.17604590952396393, 0.1811174899339676, 0.28971049189567566, -0.336870014667511, -0.4360641539096832, -0.17118123173713684, -0.23972287774085999, 0.006442861631512642, -0.09313536435365677, 0.05215935409069061, -0.028291285037994385, 0.3454313576221466, 0.27493664622306824, -0.0383031889796257, 0.32802948355674744, 0.17959164083003998, 0.39067399501800537, -0.6422380208969116, -0.24218565225601196, -0.5285215973854065, -0.2560235261917114, 0.4249042570590973, -0.6382411122322083, 0.7676247954368591, 0.5048673748970032, 0.3651069700717926]","[-0.5339568257331848, -0.49639397859573364, 0.11875806748867035, -0.07848718762397766, -0.13140344619750977, -0.03534393757581711, 0.040280550718307495, -0.3368533253669739, 0.13460533320903778, -0.01777876541018486, -0.02776239812374115, 0.26164624094963074, 0.24713927507400513, -0.49405696988105774, 0.13669453561306, 0.10007127374410629, -0.015234294347465038, -0.5280498266220093, -0.016269022598862648, -0.07577646523714066, -0.3858186602592468, -0.03331863135099411, -0.2368241846561432, 0.2540658414363861, 0.05979523807764053, -0.22659462690353394, 0.5471997261047363, -0.1796022355556488, -0.10343746095895767, -0.09574968367815018, -0.16324955224990845, -0.02721669338643551, -0.28762489557266235, -0.35840582847595215, -0.5188868641853333, -0.16364040970802307, -0.6727230548858643, 0.25058817863464355, 0.21014317870140076, 0.4412553012371063]",0,1
The business man is sitting in a chair.,"[-0.47455868124961853, -0.3325549066066742, 0.00877939723432064, -0.07911127805709839, -0.04310815781354904, -0.06298456341028214, 0.11932367086410522, -0.17387355864048004, 0.12232337146997452, -0.09136708080768585, 0.08409800380468369, 0.2573784589767456, 0.1552702635526657, -0.30515286326408386, 0.09924245625734329, 0.029538115486502647, -0.06590770184993744, -0.45561134815216064, -0.18310904502868652, -0.24459242820739746, -0.43498533964157104, -0.0679590031504631, -0.04684761166572571, 0.1793621927499771, 0.15096545219421387, -0.09153741598129272, 0.716942548751831, -0.14236430823802948, -0.01649491675198078, 0.120440773665905, -0.029053015634417534, 0.02178298868238926, -0.22392646968364716, -0.3165590167045593, -0.43011078238487244, 0.06645181775093079, -0.49465957283973694, 0.22718693315982819, 0.31763091683387756, 0.47920864820480347]","[-0.7202156186103821, -0.5140009522438049, -0.23188404738903046, 0.01100185327231884, 0.46189916133880615, -0.052092455327510834, 0.016347497701644897, -0.19005674123764038, 0.16273854672908783, -0.3494429886341095, -0.2065155953168869, 0.30910542607307434, -0.00196638610213995, 0.27741166949272156, 0.604248046875, 0.05432257056236267, -0.0025742975994944572, -0.13869714736938477, -0.13334204256534576, -0.15350034832954407, -0.3932577967643738, 0.25416532158851624, -0.1330687701702118, 0.04593263566493988, -0.17315807938575745, -0.19788415729999542, 0.6559733152389526, -0.09900913387537003, 0.25862303376197815, 0.20837754011154175, 0.18125943839550018, -0.23951955139636993, 0.12107159197330475, -0.5205383896827698, -0.4437614381313324, -0.06524772942066193, -0.598848819732666, -0.06126798689365387, 0.343760222196579, 0.09602513909339905]",0,1
A boy sits incorrectly in a chair.,"[-0.2594524919986725, -0.16799063980579376, 0.08806921541690826, -0.027466924861073494, 0.1877712905406952, -0.51744544506073, 0.3225254416465759, -0.14918513596057892, 0.13478900492191315, -0.22725513577461243, -0.2714853882789612, 0.07636795938014984, 0.02033000811934471, 0.25624409317970276, -0.04173005372285843, 0.10037606209516525, -0.2211274802684784, -0.33166229724884033, 0.06524723023176193, -0.1513168066740036, -0.6990978717803955, 0.09199679642915726, -0.012686120346188545, 0.2176440805196762, -0.37045323848724365, -0.3305306136608124, 0.7322314977645874, 0.232441708445549, 0.10929711908102036, 0.0909237340092659, 0.14171156287193298, -0.1820959746837616, 0.06916789710521698, -0.10615815967321396, -0.33454811573028564, 0.4148792028427124, -0.44794031977653503, 0.2493647187948227, 0.2516266405582428, 0.3914277255535126]","[-0.687974750995636, -0.3119349777698517, 0.006524613127112389, 0.06584292650222778, 0.03389110416173935, -0.07218234241008759, -0.1230306625366211, -0.05360500514507294, 0.20173092186450958, -0.08083248138427734, 0.04866580665111542, 0.5363491773605347, 0.5031805634498596, -0.18268048763275146, 0.30438482761383057, -0.02768300659954548, 0.18732702732086182, -0.3206776976585388, -0.4872265160083771, -0.1862286627292633, -0.10025323927402496, 0.15875059366226196, 0.12074719369411469, 0.4274231493473053, 0.028436802327632904, -0.3680930435657501, 0.38833072781562805, -0.3855678141117096, 0.064020536839962, 0.008786698803305626, -0.14797042310237885, -0.01597761921584606, -0.1921546310186386, -0.37887799739837646, -0.23469416797161102, -0.026075169444084167, -0.3824653923511505, 0.3065386414527893, 0.21465301513671875, 0.4933043122291565]",0,1
A man runs in the street,"[-0.53059983253479, -0.5351687073707581, -0.2567199468612671, 0.23395854234695435, -0.0371088832616806, -0.5515687465667725, 0.005942553281784058, -0.1737687885761261, 0.10089240223169327, -0.2935209274291992, -0.2594241499900818, -0.3012212812900543, 0.3870451748371124, 0.21399395167827606, -0.1628464013338089, 0.1137113869190216, 0.2648000717163086, -0.7033188939094543, 0.09980818629264832, -0.39895012974739075, -0.41312873363494873, 0.27414602041244507, -0.3297787010669708, -0.020871592685580254, -0.2212512493133545, -0.07212403416633606, 0.8536750674247742, 0.1705971658229828, -0.0016315802931785583, 0.03752536326646805, -0.24349504709243774, -0.19214721024036407, 0.12821191549301147, -0.20514407753944397, -0.35902631282806396, 0.16167615354061127, -0.35989734530448914, 0.3688158094882965, 0.1697106510400772, 0.39646604657173157]","[-0.4967067539691925, -0.9031197428703308, -0.15508396923542023, -0.11287398636341095, -0.2525012493133545, -0.3740811049938202, -0.08729149401187897, -0.496711403131485, 0.2711012363433838, -0.13291023671627045, -0.005832649767398834, 0.44351986050605774, 0.44886139035224915, 0.034403152763843536, 0.18038497865200043, 0.3114852011203766, 0.12915447354316711, -0.5666118264198303, -0.02085772715508938, -0.18700003623962402, -0.197336345911026, 0.3161053955554962, 0.05385220795869827, 0.21050666272640228, -0.14988219738006592, -0.1569981426000595, 0.9415573477745056, 0.1738327294588089, 0.19808927178382874, -0.4052343964576721, -0.03250502049922943, -0.18694162368774414, -0.3702394366264343, -0.40916377305984497, -0.2463977187871933, 0.2524946331977844, -0.6096866726875305, 0.44912296533584595, 0.24352805316448212, 0.5633037090301514]",0,1
A young girl sits in front of a man on a bed.,"[-0.6179550290107727, -0.25681546330451965, -0.18172882497310638, -0.17351141571998596, 0.7029803395271301, -0.32147708535194397, -0.19186268746852875, 0.1489613652229309, -0.10279236733913422, 0.11909911036491394, -0.33690357208251953, 0.6324558258056641, 0.3049684762954712, 0.3579104542732239, -0.022802958264946938, 0.19851115345954895, 0.3800215423107147, -0.2889944911003113, -0.5465075373649597, -0.37310048937797546, -0.7272824048995972, 0.18867646157741547, -0.23046036064624786, 0.19074411690235138, -0.16581547260284424, 0.14813806116580963, 0.40759584307670593, -0.022975848987698555, 0.00885743647813797, 0.23771877586841583, 0.36616408824920654, -0.3838026225566864, 0.13848701119422913, -0.1396501064300537, -0.1627725213766098, 0.4774032533168793, -0.14561273157596588, 0.6680693626403809, 0.3142278492450714, 0.3697892427444458]","[-0.26786091923713684, -0.5202153325080872, 0.011941565200686455, 0.015051661059260368, 0.36811110377311707, -0.12444815784692764, 0.045583244413137436, -0.20534619688987732, -0.04531870037317276, -0.1703188419342041, -0.23200955986976624, -0.01959182508289814, 0.31417080760002136, 0.027149058878421783, 0.30966657400131226, 0.09728174656629562, 0.176427960395813, 0.33516132831573486, -0.3026887774467468, -0.3324264883995056, -0.1986199915409088, 0.042499616742134094, 0.13753949105739594, 0.37176457047462463, -0.2613731622695923, 0.14240261912345886, 0.48909851908683777, 0.10001657158136368, 0.1448197066783905, 0.2861001789569855, 0.12349499017000198, -0.03538690507411957, 0.0972178727388382, -0.5919784903526306, -0.39038702845573425, 0.4438788890838623, -0.1152835264801979, 0.18303480744361877, 0.26408615708351135, 0.2896682620048523]",0,1
The girls cross the road.,"[-0.5523998141288757, -1.192023515701294, 0.050358474254608154, 0.1587071716785431, -0.19055137038230896, -0.5420741438865662, -0.21146008372306824, -0.2877046465873718, 0.054891474545001984, -0.33620956540107727, -0.4224618077278137, 0.4612095355987549, 0.4300439953804016, -0.39525678753852844, 0.14955121278762817, -0.06752727925777435, 0.20992155373096466, -0.41011589765548706, -0.053328998386859894, -0.1859055906534195, -0.6058455109596252, 0.05903272330760956, -0.052315741777420044, 0.8020742535591125, 0.24396896362304688, -0.26604703068733215, 0.9668936729431152, 0.09363432973623276, 0.2663133442401886, -0.04405217617750168, 0.6350567936897278, -0.38789990544319153, -0.0065883249044418335, -0.4032372534275055, -0.2800145447254181, 0.4406405985355377, -0.815874457359314, 0.47306758165359497, 0.39417725801467896, 0.6138054728507996]","[-0.5941975116729736, -0.47486698627471924, 0.20251090824604034, 0.08979487419128418, -0.34334519505500793, -0.05973942205309868, -0.004592087119817734, -0.289290189743042, 0.024600068107247353, 0.0808936059474945, -0.3166038990020752, 0.27855533361434937, 0.1434023678302765, 0.034052737057209015, 0.20663776993751526, 0.47542604804039, 0.10222303122282028, -0.48900628089904785, 0.022446049377322197, -0.07388323545455933, -0.24524113535881042, -0.06886826455593109, 0.22992418706417084, 0.29605475068092346, 0.10463912785053253, -0.47053685784339905, 0.832794189453125, -0.12196324020624161, 0.08617854863405228, -0.010118337348103523, 0.39739125967025757, -0.1923157274723053, -0.136769637465477, -0.26591774821281433, -0.30108311772346497, 0.367885559797287, -0.8848646879196167, -0.0993792861700058, 0.1999722272157669, 0.5085489153862]",0,1
